#                                                                   --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name            accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#    ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Ga0505706_00075641_orf29 -          IX.2                 -            6.4e-29   96.8   0.0   7.9e-29   96.5   0.0   1.1   1   0   0   1   1   1   1 -
Ga0505706_00425488_orf13 -          IX.2                 -            1.6e-28   95.6   0.0   1.9e-28   95.3   0.0   1.1   1   0   0   1   1   1   1 -
#
# Program:         hmmsearch
# Version:         3.3.1 (Jul 2020)
# Pipeline mode:   SEARCH
# Query file:      ../data/models/hmm/IX.2.hmm
# Target file:     ../data/tecti_genomes/JGI_IMGVR/hmmer/all_jgi_orfs.faa
# Option settings: hmmsearch --tblout ../data/tecti_genomes/JGI_IMGVR/hmmer/p9.tbl ../data/models/hmm/IX.2.hmm ../data/tecti_genomes/JGI_IMGVR/hmmer/all_jgi_orfs.faa 
# Current dir:     /n/data1/hms/dbmi/baym/nquinones/2022_QuinonesOlvera-Owen/figures/Fig3/notebooks
# Date:            Tue Feb  7 18:33:37 2023
# [ok]
