#                                                                   --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name            accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#    ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Ga0505706_00334178_orf7  -          IX                   -            2.4e-63  209.4   0.0   4.5e-63  208.5   0.0   1.4   1   1   0   1   1   1   1 -
Ga0500032_0002123_orf25  -          IX                   -            1.9e-62  206.5   0.1     4e-62  205.4   0.1   1.5   1   1   0   1   1   1   1 -
Ga0505706_00067931_orf17 -          IX                   -            5.8e-62  204.9   0.0     8e-62  204.4   0.0   1.2   1   0   0   1   1   1   1 -
Ga0500012_004241_orf8    -          IX                   -            7.1e-61  201.3   0.0   1.4e-60  200.3   0.0   1.4   1   1   0   1   1   1   1 -
Ga0500013_005094_orf3    -          IX                   -            7.1e-61  201.3   0.0   1.4e-60  200.3   0.0   1.4   1   1   0   1   1   1   1 -
Ga0500011_004634_orf6    -          IX                   -              9e-61  201.0   0.0   1.8e-60  200.0   0.0   1.4   1   1   0   1   1   1   1 -
Ga0500009_001431_orf17   -          IX                   -            1.1e-60  200.6   0.0   1.4e-60  200.3   0.0   1.1   1   0   0   1   1   1   1 -
Ga0505706_00117367_orf27 -          IX                   -            2.7e-59  196.1   0.0   4.6e-59  195.4   0.0   1.4   1   1   0   1   1   1   1 -
Ga0505706_00087319_orf17 -          IX                   -            4.3e-57  188.9   0.0     6e-57  188.5   0.0   1.1   1   0   0   1   1   1   1 -
Ga0505706_00937364_orf10 -          IX                   -            1.5e-56  187.2   0.2   1.8e-56  186.9   0.2   1.0   1   0   0   1   1   1   1 -
Ga0505706_00138351_orf7  -          IX                   -            1.3e-55  184.1   0.0   2.5e-55  183.2   0.0   1.4   1   1   0   1   1   1   1 -
Ga0505706_00078677_orf19 -          IX                   -            1.8e-55  183.6   0.0   3.5e-55  182.7   0.0   1.4   1   1   0   1   1   1   1 -
Ga0505706_00373652_orf3  -          IX                   -            7.6e-55  181.6   0.0   1.4e-54  180.7   0.0   1.4   1   1   0   1   1   1   1 -
Ga0505706_00969868_orf12 -          IX                   -            8.1e-53  175.0   0.1   1.6e-52  174.0   0.1   1.4   1   1   0   1   1   1   1 -
Ga0505706_00084197_orf8  -          IX                   -            2.4e-51  170.1   0.0   2.8e-51  169.9   0.0   1.0   1   0   0   1   1   1   1 -
Ga0501157_006299_orf10   -          IX                   -            6.4e-51  168.8   0.0   1.7e-50  167.3   0.0   1.6   1   1   0   1   1   1   1 -
Ga0505706_00093977_orf22 -          IX                   -            3.2e-50  166.4   0.0   6.5e-50  165.5   0.0   1.4   1   1   0   1   1   1   1 -
Ga0505706_00127399_orf15 -          IX                   -            2.2e-49  163.8   0.0   2.9e-49  163.3   0.0   1.1   1   0   0   1   1   1   1 -
Ga0500005_002616_orf23   -          IX                   -            1.3e-44  148.2   0.0   1.4e-44  148.0   0.0   1.0   1   0   0   1   1   1   1 -
Ga0500006_002682_orf14   -          IX                   -            1.3e-44  148.2   0.0   1.4e-44  148.0   0.0   1.0   1   0   0   1   1   1   1 -
Ga0500017_0003996_orf26  -          IX                   -            1.3e-44  148.2   0.0   1.4e-44  148.0   0.0   1.0   1   0   0   1   1   1   1 -
Ga0500018_001608_orf22   -          IX                   -            1.3e-44  148.2   0.0   1.4e-44  148.0   0.0   1.0   1   0   0   1   1   1   1 -
Ga0500030_003738_orf9    -          IX                   -            1.3e-44  148.2   0.0   1.4e-44  148.0   0.0   1.0   1   0   0   1   1   1   1 -
Ga0505706_00072834_orf23 -          IX                   -            7.5e-44  145.6   0.0   1.3e-43  144.8   0.0   1.3   1   1   0   1   1   1   1 -
Ga0505706_00098891_orf20 -          IX                   -            8.5e-44  145.4   0.0   1.6e-43  144.6   0.0   1.3   1   1   0   1   1   1   1 -
Ga0500022_006983_orf7    -          IX                   -            1.4e-43  144.7   0.0   2.3e-43  144.1   0.0   1.2   1   0   0   1   1   1   1 -
Ga0505706_00084834_orf16 -          IX                   -            4.6e-43  143.1   0.0   6.1e-43  142.7   0.0   1.1   1   0   0   1   1   1   1 -
Ga0505706_00231171_orf4  -          IX                   -            1.6e-42  141.3   0.0   2.7e-42  140.5   0.0   1.3   1   0   0   1   1   1   1 -
Ga0500022_002121_orf21   -          IX                   -            1.9e-41  137.8   0.0   8.6e-41  135.6   0.0   1.8   1   1   0   1   1   1   1 -
Ga0505706_00075008_orf9  -          IX                   -            4.6e-41  136.5   0.0   1.1e-40  135.2   0.0   1.5   1   1   0   1   1   1   1 -
Ga0505706_00344671_orf11 -          IX                   -            5.2e-41  136.3   0.0   1.2e-40  135.2   0.0   1.5   1   1   0   1   1   1   1 -
Ga0505706_00137823_orf11 -          IX                   -              3e-40  133.8   0.0   7.5e-40  132.6   0.0   1.5   1   1   0   1   1   1   1 -
Ga0500006_012856_orf4    -          IX                   -            3.2e-39  130.5   0.1   1.3e-38  128.5   0.1   1.7   1   1   0   1   1   1   1 -
Ga0505706_00153685_orf21 -          IX                   -            1.3e-38  128.4   0.0   1.5e-38  128.3   0.0   1.1   1   0   0   1   1   1   1 -
Ga0505706_00075641_orf29 -          IX                   -            1.9e-30  101.8   0.0   2.2e-30  101.6   0.0   1.0   1   0   0   1   1   1   1 -
Ga0505706_00425488_orf13 -          IX                   -            9.1e-23   76.7   0.0   1.3e-22   76.1   0.0   1.1   1   0   0   1   1   1   1 -
Ga0500005_002616_orf29   -          V                    -            1.8e-14   49.4   5.3   3.4e-14   48.5   3.7   2.1   1   1   1   2   2   2   1 -
Ga0500006_002682_orf9    -          V                    -            1.8e-14   49.4   5.3   3.4e-14   48.5   3.7   2.1   1   1   1   2   2   2   1 -
Ga0500018_001608_orf28   -          V                    -            1.8e-14   49.4   5.3   3.4e-14   48.5   3.7   2.1   1   1   1   2   2   2   1 -
Ga0500030_003738_orf4    -          V                    -            1.8e-14   49.4   5.3   3.4e-14   48.5   3.7   2.1   1   1   1   2   2   2   1 -
Ga0500022_002121_orf26   -          V                    -            8.4e-14   47.2   3.7   1.7e-13   46.2   3.7   1.8   1   1   0   1   1   1   1 -
Ga0500009_001431_orf12   -          V                    -            1.1e-10   37.0   0.0   1.1e-10   37.0   0.0   2.1   1   1   1   2   2   2   1 -
Ga0505706_00334178_orf3  -          V                    -            5.4e-08   28.1   0.4   1.6e-07   26.5   0.0   1.9   2   0   0   2   2   2   1 -
Ga0501157_006299_orf15   -          V                    -            4.2e-07   25.2   1.7   4.4e-07   25.1   0.1   1.7   2   0   0   2   2   2   1 -
Ga0505706_00344671_orf14 -          V                    -            1.3e-06   23.5   0.1   1.7e-06   23.1   0.1   1.3   1   0   0   1   1   1   1 -
Ga0505706_00078677_orf14 -          V                    -            2.3e-06   22.7   0.0   2.6e-06   22.6   0.0   1.0   1   0   0   1   1   1   1 -
Ga0505706_00075008_orf5  -          V                    -            5.6e-06   21.5   0.3   1.3e-05   20.2   0.1   1.5   1   1   0   1   1   1   1 -
Ga0500011_004634_orf1    -          V                    -            6.9e-06   21.2   0.0   8.5e-06   20.9   0.0   1.0   1   0   0   1   1   1   1 -
Ga0500032_0002123_orf29  -          V                    -            9.9e-06   20.6   0.3   1.1e-05   20.5   0.3   1.0   1   0   0   1   1   1   1 -
Ga0505706_00067931_orf21 -          V                    -            3.3e-05   18.9   0.4   3.8e-05   18.7   0.4   1.1   1   0   0   1   1   1   1 -
Ga0505706_00075008_orf7 -          VI                   -            3.7e-05   19.4   8.4   4.2e-05   19.2   8.4   1.1   1   0   0   1   1   1   1 -
Ga0500011_004634_orf5    -          X                    -              2e-31  105.0   1.5   2.7e-31  104.6   1.5   1.2   1   0   0   1   1   1   1 -
Ga0500012_004241_orf9    -          X                    -              2e-31  105.0   1.5   2.7e-31  104.6   1.5   1.2   1   0   0   1   1   1   1 -
Ga0500013_005094_orf2    -          X                    -              2e-31  105.0   1.5   2.7e-31  104.6   1.5   1.2   1   0   0   1   1   1   1 -
Ga0505706_00078677_orf18 -          X                    -            1.5e-23   79.4   2.7   2.6e-23   78.5   2.7   1.5   1   1   0   1   1   1   1 -
Ga0505706_00138351_orf5  -          X                    -            5.7e-21   70.9   6.7   2.4e-20   68.9   6.4   1.9   1   1   0   1   1   1   1 -
Ga0501157_006299_orf11   -          X                    -            4.5e-20   68.0   6.2   8.1e-20   67.1   6.2   1.3   1   1   0   1   1   1   1 -
Ga0505706_00127399_orf16 -          X                    -            7.2e-20   67.3   0.1   9.5e-20   66.9   0.1   1.2   1   0   0   1   1   1   1 -
Ga0500032_0002123_orf26  -          X                    -            3.9e-18   61.6   0.1   4.9e-18   61.3   0.1   1.2   1   0   0   1   1   1   1 -
Ga0500006_012856_orf5    -          X                    -            7.9e-18   60.7   0.0   9.6e-18   60.4   0.0   1.0   1   0   0   1   1   1   1 -
Ga0505706_00075641_orf28 -          X                    -            1.9e-17   59.4   0.1   2.3e-17   59.1   0.1   1.2   1   0   0   1   1   1   1 -
Ga0505706_00373652_orf2  -          X                    -            6.3e-17   57.7   1.4     9e-17   57.2   1.4   1.2   1   0   0   1   1   1   1 -
Ga0505706_00093977_orf23 -          X                    -              2e-15   52.8   8.2   2.3e-15   52.6   6.9   1.6   1   1   1   2   2   2   1 -
Ga0500022_006983_orf9    -          X                    -            4.1e-15   51.8   0.0   5.1e-15   51.5   0.0   1.2   1   0   0   1   1   1   1 -
Ga0505706_00969868_orf13 -          X                    -            6.2e-15   51.2   0.0   6.6e-15   51.1   0.0   1.1   1   0   0   1   1   1   1 -
Ga0505706_00087319_orf15 -          X                    -            8.7e-15   50.7   0.1   8.7e-15   50.7   0.1   1.7   2   0   0   2   2   2   1 -
Ga0505706_00117367_orf26 -          X                    -            1.2e-14   50.2   0.1   1.5e-14   49.9   0.1   1.2   1   0   0   1   1   1   1 -
Ga0500009_001431_orf15   -          X                    -              3e-13   45.7   0.3   3.4e-13   45.5   0.3   1.1   1   0   0   1   1   1   1 -
Ga0500005_002616_orf24   -          X                    -            2.2e-12   42.9   8.4   5.5e-12   41.6   8.4   1.7   1   1   0   1   1   1   1 -
Ga0500006_002682_orf13   -          X                    -            2.2e-12   42.9   8.4   5.5e-12   41.6   8.4   1.7   1   1   0   1   1   1   1 -
Ga0500017_0003996_orf27  -          X                    -            2.2e-12   42.9   8.4   5.5e-12   41.6   8.4   1.7   1   1   0   1   1   1   1 -
Ga0500018_001608_orf23   -          X                    -            2.2e-12   42.9   8.4   5.5e-12   41.6   8.4   1.7   1   1   0   1   1   1   1 -
Ga0500030_003738_orf8    -          X                    -            2.2e-12   42.9   8.4   5.5e-12   41.6   8.4   1.7   1   1   0   1   1   1   1 -
Ga0500022_002121_orf22   -          X                    -            2.7e-12   42.6  10.0   2.7e-12   42.6  10.0   2.1   2   0   0   2   2   2   1 -
Ga0505706_00084197_orf7  -          X                    -            3.1e-12   42.4   0.0     4e-12   42.0   0.0   1.3   1   0   0   1   1   1   1 -
Ga0505706_00231171_orf2  -          X                    -            6.4e-11   38.1   0.0   8.7e-11   37.6   0.0   1.2   1   0   0   1   1   1   1 -
Ga0505706_00334178_orf6  -          X                    -              2e-10   36.4   0.4     4e-10   35.5   0.3   1.5   1   1   0   1   1   1   1 -
Ga0505706_00075008_orf8  -          X                    -            4.4e-08   28.8   5.8   5.8e-08   28.4   5.8   1.2   1   0   0   1   1   1   1 -
Ga0505706_00137823_orf12 -          X                    -            4.4e-08   28.8   2.4     7e-08   28.2   2.4   1.3   1   0   0   1   1   1   1 -
Ga0505706_00067931_orf18 -          X                    -            2.9e-07   26.1  16.2   2.9e-07   26.1  16.2   2.2   1   1   1   2   2   2   1 -
Ga0505706_00153685_orf22 -          X                    -              1e-05   21.1   2.9   1.7e-05   20.4   2.7   1.5   1   1   0   1   1   1   1 -
Ga0505706_00344671_orf12 -          X                    -            1.6e-05   20.5   9.0   3.3e-05   19.5   9.0   1.5   1   1   0   1   1   1   1 -
Ga0505706_00084834_orf17 -          X                    -            8.5e-05   18.1   3.7   8.5e-05   18.1   3.7   1.6   2   0   0   2   2   1   1 -
Ga0505706_00425488_orf14 -          X                    -            0.00014   17.4   0.2   0.00014   17.4   0.2   2.0   1   1   2   3   3   3   1 -
Ga0505706_00138351_orf18 -          XI                   -            1.4e-06   23.9  23.0   2.2e-06   23.2  23.0   1.3   1   0   0   1   1   1   1 -
Ga0505706_00078677_orf31 -          XI                   -            2.2e-06   23.2   7.5   3.9e-06   22.4   7.5   1.3   1   0   0   1   1   1   1 -
Ga0505706_00373652_orf13 -          XI                   -            0.00051   15.5  11.1   0.00071   15.0  11.1   1.3   1   0   0   1   1   1   1 -
Ga0500009_001431_orf27   -          XI                   -              0.099    8.0  37.0       0.4    6.1  35.8   2.6   1   1   0   1   1   1   0 -
Ga0500032_0002123_orf10  -          XI                   -               0.94    4.8  44.3      0.94    4.8  12.3   3.2   1   1   1   2   2   2   0 -
Ga0500032_0002123_orf4   -          XII                  -            1.4e-17   59.9   1.2   1.7e-17   59.6   1.2   1.1   1   0   0   1   1   1   1 -
Ga0505706_00332338_orf2  -          XII                  -            5.3e-17   58.1   0.6   6.3e-17   57.8   0.6   1.1   1   0   0   1   1   1   1 -
Ga0505706_00093977_orf29 -          XII                  -            9.5e-11   37.7   0.1   1.2e-10   37.4   0.1   1.2   1   0   0   1   1   1   1 -
Ga0500009_001431_orf5    -          XII                  -            1.7e-07   27.2   0.1   2.2e-07   26.8   0.1   1.2   1   0   0   1   1   1   1 -
Ga0505706_00075008_orf1  -          XII                  -            0.00085   15.1   0.1    0.0021   13.8   0.1   1.6   1   1   0   2   2   2   1 -
Ga0505706_00067931_orf28 -          XII                  -             0.0011   14.8   0.1    0.0019   14.0   0.1   1.3   1   1   0   1   1   1   1 -
Ga0505706_00137823_orf15 -          XII                  -             0.0049   12.7   0.0     0.006   12.4   0.0   1.2   1   0   0   1   1   1   1 -
Ga0500009_001431_orf10 -          XIII                 -              3e-08   29.1   1.7     9e-08   27.5   1.7   1.7   1   1   0   1   1   1   1 -
Ga0500009_001431_orf28   -          XVI                  -            0.00044   16.3   1.1   0.00095   15.3   1.1   1.7   1   1   0   1   1   1   1 -
Ga0505706_00075641_orf30 -          XVI                  -              0.029   10.5   4.8      0.11    8.6   1.4   3.1   2   0   0   2   2   2   0 -
Ga0505706_00138351_orf4  -          XVII                 -            4.5e-05   19.4   0.1     9e-05   18.4   0.1   1.5   1   1   0   1   1   1   1 -
Ga0505706_00425488_orf16 -          XVII                 -             0.0012   14.8   0.1    0.0029   13.6   0.1   1.7   1   1   0   1   1   1   1 -
